   	CATEGORY	COMPANY_CODE	CATEGORY_NAME	CATEGORY_NAME_ENG	CATEGORY_NAME_LOC	CODE_LENGTH	UPDATE_YN	CREATE_DATE	CREATE_BY	UPDATE_DATE	UPDATE_BY
1	NO	PLS100	역외유형			1	Y	0026-01-27	fta	0026-01-27	fta
2	IC	PLS100	무역거래조건	INKOTERMS	무역거래조건	3	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
3	CY	PLS100	도시	city	도시	10	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
4	RC	PLS100	메일수신상태	MAIL RECEIPT STATUS	메일수신상태	3	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
5	OS	PLS100	OSP 유형	OSP	OSP 유형	30	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
6	CP	PLS100	사급코드	사급코드		30	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
7	SM	PLS100	사급진행상태	Self Supply Materials Status	사급진행상태	3	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
8	VR	PLS100	발급상태			0	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
9	FC	PLS100	FTA협정명	FTA Name	FTA협정명	3	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
10	CA	PLS100	FTA협정명 Category	FTA Name Category	FTA협정명 Category	3	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
11	FM	PLS100	포괄 확인서 양식 이력 관리			0	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
12	CO	PLS100	원산지증명서 출력 양식			0	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
13	BOM	PLS100	BOM 구분			0	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
14	DE	PLS100	판정결과	Determination Result	판정결과	3	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
15	ON	PLS100	원산지(확인서표기)	Origin	원산지(확인서표기)	10	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
