   	CUSTOMER_CODE	COMPANY_CODE	BUSINESS_NO	OFFICER_NAME	OFFICER_NAME_ENG	CUSTOMER_NAME	CUSTOMER_NAME_ENG	NATION_CODE	ZIP_CODE	ADDRESS	ADDRESS_ENG	TEL_NO	FAX_NO	CO_CERTIFIED_EXPORTER_YN	CERTIFICATION_NO	REMARK	INTG_INTERFACE_TRANS_ID	TARGET_YN	EMAIL	SEND_RECEIVE_IDENTIFIER_CODE	DELETE_YN	ATTRIBUTE01	ATTRIBUTE02	ATTRIBUTE03	ATTRIBUTE04	ATTRIBUTE05	CREATE_DATE	CREATE_BY	UPDATE_DATE	UPDATE_BY
1	410954	PLS100	506-18-17440	이명진		와이제이컴텍	WJ COMTECH CO., LTD.	KR	37847	경상북도 포항시 남구 연일읍생지리 380-1B-25	380-1B-25, 380-1, SAENGJI-RIYEONIL-EUP, NAM-GUPOHANG, GYEONGSANGBUK-DO, KOREA	542812824		N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
2	410955	PLS100				ABB FRANCE	ABB FRANCE	FR	92566	9 AVENUE EDOUARD BELIN	9 AVENUE EDOUARD BELIN	141964500		N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
3	410956	PLS100				DITEMSA PLASTICS	DITEMSA PLASTICS	MX	25240	BLVD LUIS ECHEVERRIA ALVAREZ 1280	BLVD LUIS ECHEVERRIA ALVAREZ 1280			N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
4	410957	PLS100	117-81-39097	허병석		(주)예지씨매틱	YEJI SIMATIC	KR	7997	서울특별시 양천구 목동동로 293,1117(목동,현대41타워)	MOKDONG HYUNDAI 41 TOWER, 293, MOKDONGDONG-RO, YANGCHEON-GUSEOUL, KOREA	226420923	226420956	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
5	410958	PLS100	505-10-78448	유병익		천북주유소	CHEONBUK FUEL STATION	KR	38035	경상북도 경주시 천북면 동산리 806-1	806-1, DONGSAN-RI, CHEONBUK-MYEONGYEONGJU, GYEONGSANGBUK-DO, KOREA	054-775-8283		N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
6	410959	PLS100	229-81-05755	정철		*DEL*엘엠에스코리아(주)	*DEL* LMS KOREA CO., LTD.	KR	0	서울특별시 서초구 바우뫼로37길 37(양재동, 한국산업기술진흥협회회관7층)	Baumoe-ro 37-gil, 37, Seocho-guSEOUL, KOREA(YOUNGDU B/D 4F 118-3, YANGJAE dong)	25717246	25717246	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
7	410960	PLS100	506-81-48573	이규대		(주)대영종합건설	DAEYOUNG CONSTRUCTION CO., LTD.	KR	38099	경상북도 경주시 동천동774-3	774-3, DONGCHEON-DONGGYEONGJU, GYEONGSANGBUK-DO, KOREA	547738607		N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
8	410961	PLS100	109-81-58550	정기영		(주)준산엔지니어링	JUNSAN ENGINEERING CO., LTD.	KR	10048	경기도 김포시 양촌읍 학운리 2979양촌지방산업단지 테크노존 가-507	564-71, BANGHWA 2-DONG, GANGSEO-GUSEOUL, KOREA	031-999-6223	031-999-6224	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
9	410962	PLS100	615-14-57689	오영자		미래산업	MIRAE INDUSTRY	KR	50852	경상남도 김해시 한림면 안곡로448번길 1-7	1-7, Angok-ro 448-bungil,Hanlim-myeonGimhae, Gyeongsangnam-do, Korea	553430322		N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
10	410963	PLS100	121-85-20498	오정욱		관세법인우신	WOOSHIN CUSTOMS BROKER OFFICE	KR	48939	부산광역시 중구 중앙동 4가89-2 흥우빌딩 5층	EAST B/D ROOM502, 84-14, JUNGANG-DONG 4-GA, JUNG-GUBUSAN, KOREA	051-464-2324	051-464-2337	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
11	410964	PLS100	610-81-66244	김동철		(주)아이티스타	IT STAR CO.,LTD	KR	44703	울산광역시 남구 왕생로 99(달동)	99, WANGSAENG-RO, NAM-GUULSAN, KOREA	522982117		N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
12	410965	PLS100	621-01-66655	장영기		성심산업사	SEONGSHIM INDUSTRIES	KR	50566	경상남도 양산시 상북면소토로 22-1	22-1, Soto-ro, Sangbuk-myeon,YANGSAN, GYEONGSANGNAM-DO, KOREA	055-388-1476	055-388-1477	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
13	410966	PLS100	124-47-13446	최미영		인필름	INFILM	KR	18522	경기도 화성시 정남면문학리 400	400, MUNHAK-RI, JEONGNAM-MYEONHWASEONG, GYEONGGI-DO, KOREA	312780779		N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
14	410967	PLS100	505-81-51226	김소형		(주)동명전기	DONGMYUNG ELECTRIC CO., LTD.	KR	38102	경상북도 경주시 동천동 827	827, DONGCHEON-DONGGYEONGJU, GYEONGSANGBUK-DO, KOREA	547745252	547745251	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
