   	FTA_CODE	FTA_NAME	EFFECT_DATE	DE_MINIMIS_RATE	RVC_RATE	COM_DE_MINIMIS_RATE	COM_RVC_RATE	INKOTERMS_TYPE	CO_ISSUE_FLAG	INTERMEDIATE_PROD_TYPE	FTA_STATUS	INTERMEDIATE_YN	DELETE_YN	CREATE_DATE	CREATE_BY	UPDATE_DATE	UPDATE_BY	FTA_INTERMEDIATE_YN	COVER_YN	SORT_NO	ORGAN_CO_ISSUE_CODE	DE_MINIMIS_INKOTERMS_TYPE
1	PKRPH	한-필리핀	20241231	10.00	0.00	0.00	1.00	FOB	S	O	4	N	N	2011-01-10  9:46:32	ADMIN	2013-11-19  10:21:30	fta	Y	Y	23		FOB
2	PKRIL	한-이스라엘	20221201	10.00	0.00	0.00	2.00	EXW	S	O	4	N	N	2022-11-18	ADMIN	2022-11-18	fta	Y	N	20		EXW
3	PKRKH	한-캄보디아	20221201	10.00	0.00	0.00	1.00	FOB	S	O	4	N	N	2022-11-18	ADMIN	2022-11-18	fta	Y	N	21		FOB
4	PKRRC	한-RCEP	20220201	10.00	0.00	5.00	10.00	FOB	G	O	4	N	N	2022-01-01	ADMIN	2022-01-24  14:17:38	fta	Y	N	19		FOB
5	PKRID	한-인도네시아	20230101	10.00	0.00	0.00	1.00	FOB	G	O	4	N	N	2022-11-18	ADMIN	2022-11-18	fta	Y	N	22		FOB
6	PKRCN	한-중국	20151220	10.00	0.00	0.00	1.00	FOB	G	O	4	N	N	2015-10-30	ADMIN	2015-11-30  13:21:55	fta	Y	N	13		FOB
7	PKRNZ	한-뉴질랜드	20151220	10.00	0.00	0.00	1.00	FOB	S	O	4	N	N	2015-10-30	ADMIN	2015-12-09  16:35:08	fta	Y	N	15		FOB
8	PKRVN	한-베트남	20151220	10.00	0.00	0.00	1.00	FOB	G	O	4	N	N	2015-10-30	ADMIN	2015-12-09  16:35:14	fta	Y	N	14		FOB
9	PKRCR	한-중미	20191001	10.00	0.00	0.00	1.00	FOB	S	O	4	Y	N	2019-09-16	ADMIN	2019-09-16	fta	Y	N	17		FOB
10	PKRAU	한-호주	20141212	10.00	0.00	0.00	1.00	FOB	S	O	4	Y	N	2013-05-13  13:54:47	ADMIN	2015-02-25  13:13:38	fta	Y	N	11		FOB
11	PKRCA	한-캐나다	20150101	10.00	0.00	0.00	1.00	EXW	S	O	4	Y	N	2013-05-13  13:54:47	ADMIN	2015-02-25  13:13:46	fta	Y	N	12		EXW
12	PKRCO	한-콜롬비아	20160715	10.00	0.00	0.00	1.00	FOB	S	O	4	Y	N	2013-05-13  13:54:47	ADMIN	2015-05-27  16:40:07	fta	Y	N	16		FOB
13	PKRGB	한-영국	20210101	10.00	0.00	0.00	2.00	EXW	S	O	4	N	N	2020-12-10	ADMIN	2020-12-10	fta	Y	N	18		EXW
14	PKRPR	한-페루	20110801	10.00	0.00	0.00	1.00	FOB	S	O	4	N	N	2011-07-29	ADMIN	2013-11-19  10:21:30	fta	Y	N	8	K	FOB
15	PKRUS	한-미	20120315	10.00	40.00	0.00	1.00	FOB	S	O	4	N	N	2011-01-10  9:46:32	ADMIN	2013-11-19  10:21:30	fta	Y	Y	9		FOB
16	PKRIN	한-인도	20100101	10.00	0.00	0.00	1.00	FOB	G	O	4	N	N	2011-01-10  9:46:32	ADMIN	2013-11-19  10:21:30	fta	N	N	6	J	FOB
17	PKREU	한-EU	20110701	10.00	0.00	0.00	2.00	EXW	S	O	4	N	N	2011-01-10  9:46:32	ADMIN	2015-05-08  14:20:56	fta	Y	N	7		EXW
18	PKRCL	한-칠레	20040401	8.00	0.00	0.00	1.00	FOB	S	O	4	N	N	2011-01-10  9:46:32	ADMIN	2013-11-19  10:21:30	fta	Y	N	1		FOB
19	PKRAS	한-아세안	20090901	10.00	0.00	0.00	1.00	FOB	G	O	4	N	N	2011-01-10  9:46:32	ADMIN	2013-11-19  10:21:30	fta	Y	N	5	I	FOB
20	PKREF	한-EFTA	20060901	10.00	0.00	0.00	2.00	EXW	S	O	4	N	N	2011-01-10  9:46:32	ADMIN	2015-05-08  14:20:56	fta	Y	N	4		EXW
21	PKRAP	한-APTA	20060901	0.00	0.00	0.00	1.00	FOB	G	O	4	N	N	2011-01-10  9:46:32	ADMIN	2016-04-25  17:20:51	fta	Y	N	3	E	FOB
22	PKRSI	한-싱가포르	20060302	10.00	0.00	0.00	1.00	FOB	G	O	4	N	N	2011-01-10  9:46:32	ADMIN	2014-03-04  10:36:46	fta	Y	N	2	G	FOB
23	PKRTR	한-튀르키예	20130501	10.00	0.00	0.00	2.00	EXW	S	O	4	N	N	2013-05-13  13:54:47	ADMIN	2015-05-08  14:20:56	fta	Y	N	10		EXW
24	PKRGS	GSTP	19890611	0.00	0.00	0.00	1.00	FOB	G	O	4	N	N	2011-01-10  9:46:32	ADMIN	2026-03-16  16:34:39	fta	Y	N	3	E	FOB
25	PKRAE	한-UAE	20260501	15.00	0.00	0.00	1.00	FOB	S	O	4	Y	N	2026-05-11	fta	2026-05-11	fta	Y	N			EXW
