   	ITEM_CODE	COMPANY_CODE	ITEM_NAME	ITEM_NAME_ENG	ITEM_DESC	SPEC	HS_CODE	ASSETS_TYPE	PRODUCT_CODE	UNIT	WEIGHT	IMPORT_FLAG	FLOWCHART_CODE	BOM_UNFOLD_YN	IM_APPLY_YN	INTG_INTERFACE_TRANS_ID	PRODUCER_TYPE	PROCESS_GUBUN	ITEM_CODE_ANOTHER	DELETE_YN	ATTRIBUTE01	ATTRIBUTE02	ATTRIBUTE03	ATTRIBUTE04	ATTRIBUTE05	CREATE_DATE	CREATE_BY	UPDATE_DATE	UPDATE_BY	SP_COO_YN	WO_COO_YN
1	7431392AA	PLS100	C200 호스	FUEL DELIVERY LINE ASSY DSL C200			391729			UN					N	99124	S	N		N						2025-09-30  11:12:04	PKG01_IF_LOAD.ITEM_PROC	2026-08-12  11:55:41	PKG01_IF_LOAD.ITEM_PROC	N	N
2	7431397AA	PLS100	TUBE C120	TUBE C120						UN					N	99124	S	N		N						2025-09-30  11:12:04	PKG01_IF_LOAD.ITEM_PROC	2026-08-12  11:55:41	PKG01_IF_LOAD.ITEM_PROC	N	N
3	7431405AA	PLS100	TUBE C120	TUBE C120						UN					N	99124	S	N		N						2025-09-30  11:12:04	PKG01_IF_LOAD.ITEM_PROC	2026-08-12  11:55:41	PKG01_IF_LOAD.ITEM_PROC	N	N
4	7431407AA	PLS100	TUBE C120	TUBE C120						UN					N	99124	S	N		N						2025-09-30  11:12:04	PKG01_IF_LOAD.ITEM_PROC	2026-08-12  11:55:41	PKG01_IF_LOAD.ITEM_PROC	N	N
5	7620570AC	PLS100	HARNESS ASM-FUEL SDR WRG-AWD NA_CH6	HARNESS ASM-FUEL SDR WRG-AWD NA_CH6			854430			UN					N	99124	S	N		N						2025-09-30  11:12:04	PKG01_IF_LOAD.ITEM_PROC	2026-08-12  11:55:41	PKG01_IF_LOAD.ITEM_PROC	N	N
6	7620591AB	PLS100	WIRE HARN FWD KOR DIESEL E2XX	WIRE HARN FWD KOR DIESEL E2XX			854430			UN					N	99124	S	N		N						2025-09-30  11:12:04	PKG01_IF_LOAD.ITEM_PROC	2026-08-12  11:55:41	PKG01_IF_LOAD.ITEM_PROC	N	N
7	7620610AB	PLS100	WIRE HARNESS ASM_NA LEVII GSUV AWD KYO	WIRE HARNESS ASM_NA LEVII GSUV AWD KYO			854430			UN					N	99124	S	N		N						2025-09-30  11:12:04	PKG01_IF_LOAD.ITEM_PROC	2026-08-12  11:55:41	PKG01_IF_LOAD.ITEM_PROC	N	N
8	7620612AB	PLS100	WIRE HARNESS ASM_ECE GSUV AWD KYO	WIRE HARNESS ASM_ECE GSUV AWD KYO			854430			UN					N	99124	S	N		N						2025-09-30  11:12:04	PKG01_IF_LOAD.ITEM_PROC	2026-08-12  11:55:41	PKG01_IF_LOAD.ITEM_PROC	N	N
9	7620623AB	PLS100	WIRE HARNESS	WIRE HARNESS			854430			UN					N	99124	S	N		N						2025-09-30  11:12:04	PKG01_IF_LOAD.ITEM_PROC	2026-08-12  11:55:41	PKG01_IF_LOAD.ITEM_PROC	N	N
10	7620701AA	PLS100	HARNESS ASM-FUEL SDR WRG	HARNESS ASM-FUEL SDR WRG			854430			UN					N	99124	S	N		N						2025-09-30  11:12:04	PKG01_IF_LOAD.ITEM_PROC	2026-08-12  11:55:41	PKG01_IF_LOAD.ITEM_PROC	N	N
