   	SALES_NO	SALES_SEQ	DIVISION_CODE	COMPANY_CODE	PRODUCT_CODE	PRODUCT_NAME	PRODUCT_UNIT	PRODUCT_ASSETS_TYPE	HS_CODE	PROD_DIVISION_CODE	QUANTITY	UNIT_PRICE	COUNT_UNIT	AMOUNT	AMOUNT_FOREIGN	CURRENCY	EXCHANGE_RATE	EXCHANGE_DATE	STANDARD	NET_WEIGHT	GROSS_WEIGHT	WEIGHT_UNIT	PREFERENCE_CRITERION	EXPORT_DECLARE_NO	EXPORT_DECLARE_DATE	COO_TYPE	COO_CERTIFY_NO	ORDER_NO	ORDER_SEQ	SALES_ORDER_NO	SALES_ORDER_SEQ	SP_COO_YN	SP_FILE_PATH	SP_FILE_NAME	SP_ORIGIN_FILE_NAME	FILE_NUMBER	BOM_STATUS	STATUS	BOM_YYYYMM	BOM_DIVISION_CODE	INTG_INTERFACE_TRANS_ID	CUSTOMER_ITEM_CODE	DELIVERY_CUSTOMER_CODE	DECISION_YN	INVOICE_HEADER_ID	INVOICE_LINE_ID	ATTRIBUTE01	ATTRIBUTE02	ATTRIBUTE03	ATTRIBUTE04	ATTRIBUTE05	CREATE_DATE	CREATE_BY	UPDATE_DATE	UPDATE_BY	EXPORT_ACCEPT_DATE	EXPORT_DECLARE_SEQ	INVOICE_FOB_AMOUNT
1	95193837	11	PLS101	PLS100	4131854AA	FUEL TANK ASSY HMC CN7 HEV PE GEN	UN	P	870899	PLS101	13.0000000000	156950.0000000000	UN	2040350.0000000000																							0	1			94204		1000929									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
2	95193837	10	PLS101	PLS100	4120905AB	QXK 완성품_31100 K2200_Q03_GEN GSL MPI	UN	P	870899	PLS101	40.0000000000	106655.0000000000	UN	4266200.0000000000																							0	1			94204		1000929									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
3	95191642	10	PLS101	PLS100	7630111AA	FUEL LEVE SENSOR (A/S) PETRO SYMC X-100	UN	R	842123	PLS101	799.0000000000	4412.0000000000	UN	3525188.0000000000																							0	1			94204		1000931									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
4	95191643	10	PLS101	PLS100	4120816AA	SYM SCR Y460 Q260 25L, 탱크 아쎄이	UN	P	870899	PLS101	48.0000000000	341374.0000000000	UN	16385952.0000000000																							0	1			94204		1000931									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
5	95193835	57	PLS101	PLS100	7520287AA	SYMC X150 C300 RH STRAP_22220 37100	UN	R	830230	PLS101	3280.0000000000	3897.0000000000	UN	12782160.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
6	95193835	56	PLS101	PLS100	7520286AA	SYMC X150 C300 LH STRAP_22210 37100	UN	R	830230	PLS101	3280.0000000000	3897.0000000000	UN	12782160.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
7	95193835	55	PLS101	PLS100	7520286AA	SYMC X150 C300 LH STRAP_22210 37100	UN	R	830230	PLS101	44.0000000000	3897.0000000000	UN	171468.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
8	95193835	54	PLS101	PLS100	7520287AA	SYMC X150 C300 RH STRAP_22220 37100	UN	R	830230	PLS101	44.0000000000	3897.0000000000	UN	171468.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
9	95193835	53	PLS101	PLS100	7520287AA	SYMC X150 C300 RH STRAP_22220 37100	UN	R	830230	PLS101	34.0000000000	3897.0000000000	UN	132498.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
10	95193835	52	PLS101	PLS100	7520286AA	SYMC X150 C300 LH STRAP_22210 37100	UN	R	830230	PLS101	34.0000000000	3897.0000000000	UN	132498.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
11	95193835	24	PLS101	PLS100	7520286AA	SYMC X150 C300 LH STRAP_22210 37100	UN	R	830230	PLS101	21.0000000000	3897.0000000000	UN	81837.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
12	95193835	23	PLS101	PLS100	7520286AA	SYMC X150 C300 LH STRAP_22210 37100	UN	R	830230	PLS101	38.0000000000	3897.0000000000	UN	148086.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
13	95193835	22	PLS101	PLS100	7520287AA	SYMC X150 C300 RH STRAP_22220 37100	UN	R	830230	PLS101	38.0000000000	3897.0000000000	UN	148086.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
14	95193835	21	PLS101	PLS100	7520286AA	SYMC X150 C300 LH STRAP_22210 37100	UN	R	830230	PLS101	30.0000000000	3897.0000000000	UN	116910.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
15	95193835	20	PLS101	PLS100	7520287AA	SYMC X150 C300 RH STRAP_22220 37100	UN	R	830230	PLS101	30.0000000000	3897.0000000000	UN	116910.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
16	95193835	19	PLS101	PLS100	7520286AA	SYMC X150 C300 LH STRAP_22210 37100	UN	R	830230	PLS101	15.0000000000	3897.0000000000	UN	58455.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
17	95193835	18	PLS101	PLS100	7520287AA	SYMC X150 C300 RH STRAP_22220 37100	UN	R	830230	PLS101	15.0000000000	3897.0000000000	UN	58455.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
18	95193835	17	PLS101	PLS100	7520287AA	SYMC X150 C300 RH STRAP_22220 37100	UN	R	830230	PLS101	66.0000000000	3897.0000000000	UN	257202.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
19	95193835	16	PLS101	PLS100	7520286AA	SYMC X150 C300 LH STRAP_22210 37100	UN	R	830230	PLS101	51.0000000000	3897.0000000000	UN	198747.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
20	95193835	15	PLS101	PLS100	7520287AA	SYMC X150 C300 RH STRAP_22220 37100	UN	R	830230	PLS101	51.0000000000	3897.0000000000	UN	198747.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
21	95193835	14	PLS101	PLS100	7520286AA	SYMC X150 C300 LH STRAP_22210 37100	UN	R	830230	PLS101	66.0000000000	3897.0000000000	UN	257202.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
22	95193835	13	PLS101	PLS100	7520286AA	SYMC X150 C300 LH STRAP_22210 37100	UN	R	830230	PLS101	35.0000000000	3897.0000000000	UN	136395.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
23	95193835	12	PLS101	PLS100	7520287AA	SYMC X150 C300 RH STRAP_22220 37100	UN	R	830230	PLS101	35.0000000000	3897.0000000000	UN	136395.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
24	95193835	11	PLS101	PLS100	7520286AA	SYMC X150 C300 LH STRAP_22210 37100	UN	R	830230	PLS101	40.0000000000	3897.0000000000	UN	155880.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
25	95193835	10	PLS101	PLS100	7520287AA	SYMC X150 C300 RH STRAP_22220 37100	UN	R	830230	PLS101	40.0000000000	3897.0000000000	UN	155880.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
26	95193835	51	PLS101	PLS100	7520286AA	SYMC X150 C300 LH STRAP_22210 37100	UN	R	830230	PLS101	39.0000000000	3897.0000000000	UN	151983.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
27	95193835	50	PLS101	PLS100	7520287AA	SYMC X150 C300 RH STRAP_22220 37100	UN	R	830230	PLS101	39.0000000000	3897.0000000000	UN	151983.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
28	95193835	49	PLS101	PLS100	7520287AA	SYMC X150 C300 RH STRAP_22220 37100	UN	R	830230	PLS101	52.0000000000	3897.0000000000	UN	202644.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
29	95193835	48	PLS101	PLS100	7520286AA	SYMC X150 C300 LH STRAP_22210 37100	UN	R	830230	PLS101	28.0000000000	3897.0000000000	UN	109116.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
30	95193835	47	PLS101	PLS100	7520287AA	SYMC X150 C300 RH STRAP_22220 37100	UN	R	830230	PLS101	28.0000000000	3897.0000000000	UN	109116.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
31	95193835	46	PLS101	PLS100	7520286AA	SYMC X150 C300 LH STRAP_22210 37100	UN	R	830230	PLS101	52.0000000000	3897.0000000000	UN	202644.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
32	95193835	45	PLS101	PLS100	7520287AA	SYMC X150 C300 RH STRAP_22220 37100	UN	R	830230	PLS101	45.0000000000	3897.0000000000	UN	175365.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
33	95193835	44	PLS101	PLS100	7520287AA	SYMC X150 C300 RH STRAP_22220 37100	UN	R	830230	PLS101	26.0000000000	3897.0000000000	UN	101322.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
34	95193835	43	PLS101	PLS100	7520286AA	SYMC X150 C300 LH STRAP_22210 37100	UN	R	830230	PLS101	45.0000000000	3897.0000000000	UN	175365.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
35	95193835	42	PLS101	PLS100	7520286AA	SYMC X150 C300 LH STRAP_22210 37100	UN	R	830230	PLS101	26.0000000000	3897.0000000000	UN	101322.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
36	95193835	41	PLS101	PLS100	7520287AA	SYMC X150 C300 RH STRAP_22220 37100	UN	R	830230	PLS101	53.0000000000	3897.0000000000	UN	206541.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
