   	COMPANY_CODE	DIVISION_CODE	ITEM_CODE	APPLY_DATE	END_DATE	STANDARD_COST_AMOUNT	NET_COST_AMOUNT	CREATE_DATE	CREATE_BY	UPDATE_DATE	UPDATE_BY
1	PLS100	PLS101	7433940AA	20250501	99991231	6150.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
2	PLS100	PLS101	7433954AA	20250501	99991231	3881.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
3	PLS100	PLS101	7434176AA	20250501	99991231	3160.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
4	PLS100	PLS101	7434177AB	20250501	99991231	13522.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
5	PLS100	PLS101	7434178AB	20250501	99991231	2838.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
6	PLS100	PLS101	7434178AC	20250501	99991231	1734.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
7	PLS100	PLS101	7434180AC	20250501	99991231	18979.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
8	PLS100	PLS101	7434180AD	20250501	99991231	23872.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
9	PLS100	PLS101	7434247AA	20250501	99991231	5050.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
10	PLS100	PLS101	7434250AA	20250501	99991231	7055.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
11	PLS100	PLS101	7434263AA	20250501	99991231	1938.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
12	PLS100	PLS101	7434285AA	20250501	99991231	4351.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
13	PLS100	PLS101	7434358AA	20250501	99991231	5448.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
14	PLS100	PLS101	7434359AA	20250501	99991231	4425.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
15	PLS100	PLS101	7434534AA	20250501	99991231	4238.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
16	PLS100	PLS101	7434619AA	20250501	99991231	3833.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
17	PLS100	PLS101	7434779AA	20250501	99991231	5280.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
18	PLS100	PLS101	7434780AA	20250501	99991231	6881.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
19	PLS100	PLS101	7434781AA	20250501	99991231	6326.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
20	PLS100	PLS101	7434782AA	20250501	99991231	9651.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
21	PLS100	PLS101	7434784AA	20250501	99991231	8121.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
22	PLS100	PLS101	7434785AA	20250501	99991231	8769.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
23	PLS100	PLS101	7434786AA	20250501	99991231	7952.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
24	PLS100	PLS101	7434815AA	20250501	99991231	8017.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
25	PLS100	PLS101	7434816AA	20250501	99991231	1.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
26	PLS100	PLS101	7434866AA	20250501	99991231	8157.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
27	PLS100	PLS101	7434867AA	20250501	99991231	8148.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
28	PLS100	PLS101	7434869AA	20250501	99991231	5870.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
29	PLS100	PLS101	7434874AA	20250501	99991231	7000.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
30	PLS100	PLS101	7434906AA	20250501	99991231	4014.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
31	PLS100	PLS101	7434961AA	20250501	99991231	4014.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
32	PLS100	PLS101	7435092AA	20250501	99991231	10196.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
33	PLS100	PLS101	7435093AA	20250501	99991231	10748.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
34	PLS100	PLS101	7435094AA	20250501	99991231	23872.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
35	PLS100	PLS101	7440094AA	20250501	99991231	534.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
36	PLS100	PLS101	7440099AA	20250501	99991231	1209.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
37	PLS100	PLS101	7440101AA	20250501	99991231	1207.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
38	PLS100	PLS101	7440102AA	20250501	99991231	967.00000000		2026-01-20  17:49:52	STANDARD_COST_PROC	2026-01-20  17:49:52	STANDARD_COST_PROC
